區議會選區 Constituency,,,點票站 Counting Station,,,候選人編號 Candidiate Number,,,,,
,,,,,,1,2,3,4,5,6
C25,康怡,KORNHILL,C2501,佛教中華康山學校,Buddhist Chung Wah Kornhill Primary School,29,2535,2443,--,--,--
C26,康山,KORNHILL GARDEN,C2601,太古小學,Taikoo Primary School,1814,2384,--,--,--,--
C27,興東,HING TUNG,C2701,青松興東幼稚園,Ching Chung Hing Tung Kindergarten,1246,1829,--,--,--,--
,,,C2702,伊斯蘭徐錦享紀念幼稚園,Islamic Abu Bakar Chui Memorial Kindergarten,1562,1481,--,--,--,--
C28,西灣河,SAI WAN HO,C2801,西灣河體育館,Sai Wan Ho Sports Centre,1956,2222,--,--,--,--
C29,下耀東,LOWER YIU TUNG,C2901,勵志會梁李秀娛紀念小學,The Endeavourers Leung Lee Sau Yu Memorial Primary School,977,464,686,--,--,--
,,,C2902,筲箕灣街坊福利事務促進會有限公司,Shau Kei Wan Kai-fong Welfare Advancement Association Ltd.,681,513,306,--,--,--
C31,興民,HING MAN,C3101,粵南信義會腓力堂興民幼兒學園,Lutheran Philip House Hing Man Nursery School,622,1007,--,--,--,--
,,,C3102,路德會聖雅各幼稚園,St. James Lutheran Kindergarten,769,1463,--,--,--,--
C32,樂康,LOK HONG,C3201,天主教明德學校,Meng Tak Catholic School,1729,35,1952,--,--,--
,,,C3202,循道愛華村服務中心社會福利部 - 愛華青少年綜合服務隊 (愛華服務處),"Methodist Epworth Village Community Centre, Social Welfare - Epworth Integrated Youth Team (Epworth Base)",240,13,444,--,--,--
C33,翠德,TSUI TAK,C3301,柴灣母嬰健康院,Chai Wan Maternal and Child Health Centre,2351,979,--,--,--,--
C34,漁灣,YUE WAN,C3401,漁灣社區會堂,Yue Wan Community Hall,1863,2026,--,--,--,--
C35,佳曉,KAI HIU,C3501,香港中華基督教青年會  -  柴灣會所,Chinese YMCA of Hong Kong-Chai Wan Centre,1126,1676,--,--,--,--
,,,C3502,道慈佛社楊譚婉芳幼稚園,Buddhist To Chi Fat She Yeung Tam Yuen Fong Kindergarten,388,565,--,--,--,--
D01,香港仔,ABERDEEN,D0101,香港仔體育館,Aberdeen Sports Centre,1598,621,1936,226,--,--
D03,鴨脷洲北,AP LEI CHAU NORTH,D0301,鴨脷洲體育館,Ap Lei Chau Sports Centre,755,1556,--,--,--,--
D04,利東一,LEI TUNG I,D0401,聖伯多祿天主教小學,St. Peter's Catholic Primary School,177,1810,3068,--,--,--
D05,利東二,LEI TUNG II,D0501,利東社區會堂,Lei Tung Community Hall,2564,119,1854,21,--,--
D06,海怡東,SOUTH HORIZONS EAST,D0601,海怡寶血小學,Precious Blood Primary School (South Horizons),1845,2180,643,--,--,--
D07,海怡西,SOUTH HORIZONS WEST,D0701,海怡社區中心,South Horizons Neighbourhood Community Centre,2245,2945,--,--,--,--
D08,華貴,WAH KWAI,D0801,華貴社區會堂,Wah Kwai Community Hall,94,2652,2699,--,--,--
D09,華富南,WAH FU SOUTH,D0901,明愛莊月明中學,Caritas Chong Yuet Ming Secondary School,1632,1629,--,--,--,--
D10,華富北,WAH FU NORTH,D1001,東華三院鶴山學校,TWGHs Hok Shan School,2089,21,2408,29,--,--
D11,薄扶林,POKFULAM,D1101,沙宣道會堂,Sassoon Road Assembly Hall,190,540,--,--,--,--
,,,D1102,上碧瑤灣遊樂場,Playground of Upper Baguio Villa,474,801,--,--,--,--
,,,D1103,數碼港郵政局,Cyberport Post Office,480,611,--,--,--,--
D12,置富,CHI FU,D1201,展亮技能發展中心 (薄扶林),Shine Skills Centre (Pokfulam),188,76,--,--,--,--
,,,D1202,置富南區會堂,Chi Fu Community Hall,2574,2147,--,--,--,--
D15,黃竹坑,WONG CHUK HANG,D1501,香港仔網球及壁球中心,Aberdeen Tennis and Squash Centre,689,623,--,--,--,--
,,,D1502,南區長者地區中心,Southern District Elderly Community Centre,1501,2022,--,--,--,--
D16,海灣,BAYS AREA,D1601,南島中學,South Island School,186,447,--,--,--,--
,,,D1602,香港國際學校,Hong Kong International School,288,510,--,--,--,--
D17,赤柱及石澳,STANLEY & SHEK O,D1701,赤柱社區會堂,Stanley Community Hall,311,695,1431,--,--,--
,,,D1702,石澳健康院,Medical Clinic of Shek O Health Centre,97,57,401,--,--,--
E01,尖沙咀西,TSIM SHA TSUI WEST,E0101,仁愛堂陳鄭玉而幼稚園,Yan Oi Tong Chan Cheng Yuk Yee Kindergarten,828,1213,--,--,--,--
E02,佐敦南,JORDAN SOUTH,E0201,九龍公園體育館,Kowloon Park Sports Centre,1531,524,--,--,--,--
E04,油麻地南,YAU MA TEI SOUTH,E0401,梁顯利油麻地社區中心,Henry G. Leong Yaumatei Community Centre,1298,2124,--,--,--,--
E05,富榮,CHARMING,E0501,油蔴地天主教小學(海泓道),Yaumati Catholic Primary School (Hoi Wang Road),2053,2473,--,--,--,--
E07,富柏,FU PAK,E0701,保良局陳守仁小學,PLK Camões Tan Siu Lin Primary School,2859,1924,--,--,--,--
E08,奧運,OLYMPIC,E0801,香港保護兒童會中銀幼兒學校,Hong Kong Society for the Protection of Children BOC Nursery School,1414,1531,--,--,--,--
E09,櫻桃,CHERRY,E0901,路德會沙崙學校,Sharon Lutheran School,858,1611,172,--,--,--
E10,大角咀南,TAI KOK TSUI SOUTH,E1001,大角嘴天主教小學,Tai Kok Tsui Catholic Primary School,1362,1608,--,--,--,--
E11,大角咀北,TAI KOK TSUI NORTH,E1101,中華基督教會基全小學,CCC Kei Tsun Primary School,1363,2633,--,--,--,--
E12,大南,TAI NAN,E1201,鮮魚行學校,Fresh Fish Traders' School,606,962,1424,--,--,--
E13,旺角北,MONG KOK NORTH,E1301,聖公會基榮小學,SKH Kei Wing Primary School,1712,869,--,--,--,--
E14,旺角東,MONG KOK EAST,E1401,界限街一號體育館,Boundary Street Sports Centre No. 1,112,1442,1172,--,--,--
E16,油麻地北,YAU MA TEI NORTH,E1601,東華三院羅裕積小學,TWGHs Lo Yu Chik Primary School,689,1682,--,--,--,--
E17,尖東及京士柏,EAST TSIM SHA TSUI & KING'S PARK,E1701,油蔴地街坊會學校,Yaumati Kaifong Association School,589,742,--,--,--,--
,,,E1702,香港理工大學紅磡灣校園,PolyU Hung Hom Bay Campus,92,110,--,--,--,--
E18,尖沙咀中,TSIM SHA TSUI CENTRAL,E1801,入境事務處西九龍辦事處,Immigration Department West Kowloon Office,486,1099,--,--,--,--
E19,佐敦北,JORDAN NORTH,E1901,佐敦道官立小學,Jordan Road Government Primary School,941,386,--,--,--,--
F01,寶麗,PO LAI,F0101,保安道體育館,Po On Road Sports Centre,1664,1929,--,--,--,--
F02,長沙灣,CHEUNG SHA WAN,F0201,福榮街官立小學,Fuk Wing Street Government Primary School,1491,246,1307,--,--,--
F03,南昌北,NAM CHEONG NORTH,F0301,英華女學校,Ying Wa Girls' School,1461,796,--,--,--,--
F04,石硤尾,SHEK KIP MEI,F0401,石硤尾社區會堂,Shek Kip Mei Community Hall,2847,2088,--,--,--,--
F05,南昌東,NAM CHEONG EAST,F0501,基督教香港崇真會安康幼兒學校,Tsung Tsin Mission of Hong Kong On Hong Nursery School,1727,1287,--,--,--,--
F06,南昌南,NAM CHEONG SOUTH,F0601,深水埔街坊福利事務促進會,Shamshuipo Kaifong Welfare Advancement Association,786,1544,--,--,--,--
F07,南昌中,NAM CHEONG CENTRAL,F0701,北河街體育館,Pei Ho Street Sports Centre,1284,538,--,--,--,--
F08,南昌西,NAM CHEONG WEST,F0801,南昌社區中心,Nam Cheong District Community Centre,1217,1873,--,--,--,--
F09,富昌,FU CHEONG,F0901,英華書院,Ying Wa College,2130,2973,--,--,--,--
F10,麗閣,LAI KOK,F1001,麗閣社區會堂,Lai Kok Community Hall,2531,215,2432,--,--,--
F11,幸福,FORTUNE,F1101,聖公會基福小學,SKH Kei Fook Primary School,1597,1590,--,--,--,--
,,,F1102,深水埗官立小學,Sham Shui Po Government Primary School,301,547,--,--,--,--
F12,荔枝角南,LAI CHI KOK SOUTH,F1201,聖公會聖馬利亞堂莫慶堯中學,SKH St. Mary's Church Mok Hing Yiu College,3477,1191,94,--,--,--
F13,美孚南,MEI FOO SOUTH,F1301,美孚新邨孚佑堂,Mei Foo Sun Chuen Community Centre,179,2193,2421,--,--,--
F14,美孚中,MEI FOO CENTRAL,F1401,博愛醫院美孚荔灣街坊會梁之潛伉儷長者健康支援及進修中心,POH Mei Foo Lai Wan Kaifong Association Mr. and Mrs. Leung Chi Chim Elderly Health Support and Learning Centre,1803,1675,241,--,--,--
F15,美孚北,MEI FOO NORTH,F1501,荔枝角公園體育館,Lai Chi Kok Park Sports Centre,2636,1816,--,--,--,--
F16,荔枝角中,LAI CHI KOK CENTRAL,F1601,荔枝角社區會堂,Lai Chi Kok Community Hall,2229,2353,--,--,--,--
F17,荔枝角北,LAI CHI KOK NORTH,F1701,五邑工商總會學校,Five Districts Business Welfare Association School,1173,64,877,--,--,--
F18,元州及蘇屋,UN CHAU & SO UK,F1801,長沙灣體育館,Cheung Sha Wan Sports Centre,3491,1160,--,--,--,--
F19,李鄭屋,LEI CHENG UK,F1901,長沙灣社區中心,Cheung Sha Wan Community Centre,2335,2124,--,--,--,--
F20,下白田,HA PAK TIN,F2001,白田社區會堂,Pak Tin Community Hall,2320,1152,--,--,--,--
F21,又一村,YAU YAT TSUEN,F2101,聖母玫瑰書院,Our Lady of The Rosary College,982,2277,--,--,--,--
F22,南山、大坑東及大坑西,"NAM SHAN, TAI HANG TUNG & TAI HANG SAI",F2201,大坑東社區中心,Tai Hang Tung Community Centre,1991,2563,54,--,--,--
F23,龍坪及上白田,LUNG PING & SHEUNG PAK TIN,F2301,白田天主教小學,Pak Tin Catholic Primary School,40,1015,905,--,--,--
,,,F2302,香港城市大學澤安中心,"Chak On Centre, City University of Hong Kong",121,663,1549,--,--,--
G01,馬頭圍,MA TAU WAI,G0101,馬頭涌官立小學,Ma Tau Chung Government Primary School,2670,2625,--,--,--,--
G02,馬坑涌,MA HANG CHUNG,G0201,土瓜灣體育館,To Kwa Wan Sports Centre,1618,148,1663,--,--,--
G03,馬頭角,MA TAU KOK,G0301,保良局林文燦英文小學,PLK Lam Man Chan English Primary School,1790,768,--,--,--,--
G04,樂民,LOK MAN,G0401,獻主會聖馬善樂小學,St. Eugene de Mazenod Oblate Primary School,2310,1561,--,--,--,--
G05,常樂,SHEUNG LOK,G0501,聖文嘉幼稚園,St. Monica's Kindergarten,120,1559,1196,--,--,--
,,,G0502,循道衛理楊震社會服務處何文田青少年綜合發展中心,YMMSS Homantin Integrated Centre for Youth Development,89,1217,1136,--,--,--
G06,何文田,HO MAN TIN,G0601,余振強紀念中學,Yu Chun Keung Memorial College,1488,1210,--,--,--,--
,,,G0602,何文田官立中學,Homantin Government Secondary School,888,642,--,--,--,--
G07,嘉道理,KADOORIE,G0701,明愛九龍社區中心,Caritas Community Centre - Kowloon,581,47,675,--,--,--
,,,G0702,九龍總商會,Kowloon Chamber of Commerce,752,45,1703,--,--,--
G10,龍城,LUNG SHING,G1001,九龍城體育館,Kowloon City Sports Centre,395,2021,--,--,--,--
G11,宋皇臺,SUNG WONG TOI,G1101,聖三一堂小學,Holy Trinity Primary School,2015,502,694,--,--,--
G12,啓德北,KAI TAK NORTH,G1201,保良局溫林美賢耆暉中心,PLK Wan Lam May Yin Shirley Neighborhood Elderly Centre,2610,73,16,932,--,--
G13,啓德南,KAI TAK SOUTH,G1301,佛教陳策文伉儷幼稚園,Buddhist Mr & Mrs Chan Chart Man Kindergarten,2199,763,--,--,--,--
G14,海心,HOI SHAM,G1401,聖公會聖匠小學,SKH Holy Carpenter Primary School,2478,654,--,--,--,--
G15,土瓜灣北,TO KWA WAN NORTH,G1501,土瓜灣市政大廈室內羽毛球場,To Kwa Wan Complex Indoor Games Room,204,177,1544,--,--,--
G16,土瓜灣南,TO KWA WAN SOUTH,G1601,中華基督教會基道中學,CCC Kei To Secondary School,1719,1020,--,--,--,--
G17,鶴園海逸,HOK YUEN LAGUNA VERDE,G1701,博愛醫院任永賢夫人幼稚園幼兒中心,POH Mrs Yam Wing Yin Kindergarten Day Nursery,572,1366,530,--,--,--
,,,G1702,紅磡社區會堂,Hung Hom Community Hall,378,241,609,--,--,--
G18,黃埔東,WHAMPOA EAST,G1801,葛量洪校友會黃埔學校,GCE Past Students' Association Whampoa Primary School,596,2345,2041,--,--,--
G19,黃埔西,WHAMPOA WEST,G1901,聖公會奉基千禧小學,SKH Fung Kei Millennium Primary School,2114,2075,--,--,--,--
G20,紅磡灣,HUNG HOM BAY,G2001,聖公會聖匠中學,SKH Holy Carpenter Secondary School,47,162,1740,1811,--,--
G21,紅磡,HUNG HOM,G2101,紅磡市政大廈體育館,Hung Hom Municipal Services Building Sports Centre,1173,1544,31,--,--,--
G23,愛民,OI MAN,G2301,何文田體育館,Ho Man Tin Sports Centre,2806,1547,--,--,--,--
G24,愛俊,OI CHUN,G2401,路德會包美達社區中心,Martha Boss Lutheran Community Centre,2772,1842,--,--,--,--
H01,龍趣,LUNG TSUI,H0101,黃大仙社區中心,Wong Tai Sin Community Centre,241,715,2191,--,--,--
H02,龍下,LUNG HA,H0201,黃大仙官立小學,Wong Tai Sin Government Primary School,1446,2552,--,--,--,--
H03,龍上,LUNG SHEUNG,H0301,龍翔官立中學,Lung Cheung Government Secondary School,2798,1478,204,--,--,--
H04,鳳凰,FUNG WONG,H0401,嗇色園西醫診所,Sik Sik Yuen Clinic,1422,1675,--,--,--,--
H05,鳳德,FUNG TAK,H0501,鳳德社區中心,Fung Tak Estate Community Centre,2766,2168,--,--,--,--
H06,龍星,LUNG SING,H0601,香港小童群益會賽馬會慈雲山青少年綜合服務中心,The Boys' & Girls' Clubs Association of Hong Kong Jockey Club  Tsz Wan Shan Children & Youth Integrated Services Centre,221,92,2071,1635,--,--
,,,H0602,真鐸學校,Chun Tok School,76,19,569,1339,--,--
H07,新蒲崗,SAN PO KONG,H0701,保良局何壽南小學,PLK Stanley Ho Sau Nan Primary School,1405,414,--,--,--,--
,,,H0702,嘉諾撒小學 (新蒲崗),Canossa Primary School (San Po Kong),1621,870,--,--,--,--
H08,東頭,TUNG TAU,H0801,東頭社區中心,Tung Tau Community Centre,1448,2710,--,--,--,--
H09,東美,TUNG MEI,H0901,聖公會基德小學,SKH Kei Tak Primary School,2894,1597,--,--,--,--
H10,樂富,LOK FU,H1001,摩士公園體育館,Morse Park Sports Centre,981,2232,--,--,--,--
H12,天強,TIN KEUNG,H1201,天主教博智小學,Price Memorial Catholic Primary School,1417,1684,--,--,--,--
,,,H1202,潔心林炳炎中學,Kit Sam Lam Bing Yim Secondary School,790,1088,--,--,--,--
H13,翠竹及鵬程,TSUI CHUK & PANG CHING,H1301,嗇色園主辦可德幼稚園,Ho Tak Kindergarten (Sponsored by Sik Sik Yuen),802,880,313,--,--,--
,,,H1302,翠竹商場5樓,"Level 5, Tsui Chuk Commercial Complex",1076,2087,502,--,--,--
H14,竹園南,CHUK YUEN SOUTH,H1401,竹園社區中心,Chuk Yuen Estate Community Centre,1610,561,--,--,--,--
,,,H1402,浸信會天虹小學,Baptist Rainbow Primary School,1446,546,--,--,--,--
H15,竹園北,CHUK YUEN NORTH,H1501,竹園體育館,Chuk Yuen Sports Centre,1206,2799,--,--,--,--
H16,慈雲西,TSZ WAN WEST,H1601,嗇色園主辦可立小學,Ho Lap Primary School (Sponsored by Sik Sik Yuen),362,2405,3285,--,--,--
H17,正愛,CHING OI,H1701,肖霞幼稚園,Chiu Ha Kindergarten,3243,2048,--,--,--,--
H19,慈雲東,TSZ WAN EAST,H1901,德愛中學,Tak Oi Secondary School,3192,1585,--,--,--,--
H20,瓊富,KING FU,H2001,嗇色園主辦可富耆英鄰舍中心,Ho Fu Neighbourhood Centre for Senior Citizens (Sponsored by Sik Sik Yuen),1480,2593,--,--,--,--
,,,H2002,香港遊樂場協會賽馬會瓊富青少年綜合服務中心,Hong Kong Playground Association Jockey Club King Fu Integrated Service Centre For Children & Youth,897,1314,--,--,--,--
H21,彩雲東,CHOI WAN EAST,H2101,保良局陳麗玲(百周年)學校,PLK Anita L. L. Chan (Centenary) School,1551,129,2201,--,--,--
H22,彩雲南,CHOI WAN SOUTH,H2201,香港幼稚園協會幼兒學校,Hong Kong Kindergarten Association Pre-School,2432,1321,--,--,--,--
H23,彩雲西,CHOI WAN WEST,H2301,彩雲社區中心,Choi Wan Estate Community Centre,1810,2682,--,--,--,--
H24,池彩,CHI CHOI,H2401,佛教孔仙洲紀念中學,Buddhist Hung Sean Chau Memorial College,1469,1120,--,--,--,--
,,,H2402,中華基督教會基華小學,CCC Kei Wa Primary School,614,958,--,--,--,--
H25,彩虹,CHOI HUNG,H2501,聖公會聖本德中學,SKH St. Benedict's School,1639,2898,--,--,--,--
J03,啓業,KAI YIP,J0301,啟業社區會堂,Kai Yip Community Hall,1826,2128,--,--,--,--
J04,麗晶,LAI CHING,J0401,仁濟醫院羅陳楚思中學,Yan Chai Hospital Law Chan Chor Si College,2682,3060,--,--,--,--
J07,佐敦谷,JORDAN VALLEY,J0701,香港基督教服務處樂暉長者地區中心,Hong Kong Christian Service Bliss District Elderly Community Centre,600,1621,--,--,--,--
,,,J0702,天主教彩霞邨潔心幼稚園,Choi Ha Estate Kit Sam Kindergarten,800,1017,--,--,--,--
J08,順天,SHUN TIN,J0801,寧波第二中學,Ning Po No. 2 College,2864,2764,--,--,--,--
J10,安利,ON LEE,J1001,迦密梁省德學校,Carmel Leung Sing Tak School,2128,1665,92,--,--,--
J11,寶達,PO TAT,J1101,秀茂坪天主教小學,Sau Mau Ping Catholic Primary School,1042,3993,--,--,--,--
J13,曉麗,HIU LAI,J1301,路德會陳蒙恩幼稚園,Chan Mung Yan Lutheran Kindergarten,1288,1907,--,--,--,--
,,,J1302,宣道會秀茂坪陳李詠貞幼稚園,CASMP Chen Lee Wing Tsing Kindergarten,996,1559,--,--,--,--
J14,秀茂坪南,SAU MAU PING SOUTH,J1401,觀塘官立小學(秀明道),Kwun Tong Government Primary School (Sau Ming Road),1831,386,205,--,--,--
,,,J1402,中華傳道會基石堂 ,CNEC Kei Shek Church,587,282,135,--,--,--
J16,興田,HING TIN,J1601,聖愛德華天主教小學,St. Edward's Catholic Primary School,2424,2125,--,--,--,--
J17,藍田,LAM TIN,J1701,藍田聖保祿中學,St. Paul's School (Lam Tin),1075,323,--,--,--,--
,,,J1702,飛雁幼稚園,Fei Ngan Kindergarten,2140,962,--,--,--,--
J19,平田,PING TIN,J1901,聖公會李兆強小學,SKH Lee Shiu Keung Primary School,3404,988,--,--,--,--
J20,栢雅,PAK NGA,J2001,聖公會慈光堂聖匠幼稚園,SKH Kindly Light Church Holy Carpenter Kindergarten,138,2666,1528,--,--,--
J22,油麗,YAU LAI,J2201,聖公會油塘基顯小學,SKH Yautong Kei Hin Primary School,318,1914,1264,--,--,--
J23,翠翔,CHUI CHEUNG,J2301,香港中國婦女會李樹培夫人啟知中心,Hong Kong Chinese Women's Club Dr. Ellen Li Learning Centre,2918,2654,--,--,--,--
J25,麗港城,LAGUNA CITY,J2501,茜草灣鄰里社區中心,Sai Tso Wan Neighbourhood Community Centre,4091,3243,--,--,--,--
J26,景田,KING TIN,J2601,藍田 (西區) 社區中心,Lam Tin (West) Estate Community Centre,2791,2170,--,--,--,--
J27,翠屏,TSUI PING,J2701,天主教佑華小學,Our Lady of China Catholic Primary School,3457,1134,--,--,--,--
J28,寶樂,PO LOK,J2801,觀塘瑪利諾書院,Kwun Tong Maryknoll College,2097,1717,--,--,--,--
J29,月華,YUET WAH,J2901,地利亞修女紀念學校 (月華),Delia Memorial School (Yuet Wah),2403,1098,--,--,--,--
J30,協康,HIP HONG,J3001,瑞和街體育館,Shui Wo Street Sports Centre,42,1145,522,--,--,--
,,,J3002,曉光街體育館,Hiu Kwong Street Sports Centre,592,686,385,--,--,--
J31,康樂,HONG LOK,J3101,觀塘功樂官立中學,Kwun Tong Kung Lok Government Secondary School,1624,1525,--,--,--,--
J32,定安,TING ON,J3201,聖公會基顯小學,SKH Kei Hin Primary School,2159,2097,--,--,--,--
J33,牛頭角上邨,UPPER NGAU TAU KOK ESTATE,J3301,循道衛理觀塘社會服務處牛頭角青少年綜合服務中心,Kwun Tong Methodist Social Service Ngau Tau Kok Youth Integrated Service Centre,2453,1531,--,--,--,--
J34,牛頭角下邨,LOWER NGAU TAU KOK ESTATE,J3401,振華道體育館,Chun Wah Road Sports Centre,562,496,--,--,--,--
,,,J3402,保良局顧卞裘莉長者日間護理中心,PLK Koo Bin Kau Lee Day Care Centre for the Elderly,1417,1945,--,--,--,--
J36,樂華北,LOK WAH NORTH,J3601,聖公會基樂小學,SKH Kei Lok Primary School,1729,1246,--,--,--,--
J37,樂華南,LOK WAH SOUTH,J3701,樂華社區中心,Lok Wah Estate Community Centre,1687,2245,--,--,--,--
K02,楊屋道,YEUNG UK ROAD,K0201,荃灣天主教小學,Tsuen Wan Catholic Primary School,2075,1233,--,--,--,--
K03,海濱,HOI BUN,K0301,天主教石鐘山紀念小學,Shak Chung Shan Memorial Catholic Primary School,1926,2647,--,--,--,--
K04,祈德尊,CLAGUE GARDEN,K0401,寶安商會王少清中學,POCA Wong Siu Ching Secondary School,1825,1550,--,--,--,--
K06,愉景,DISCOVERY PARK,K0601,荃景圍體育館,Tsuen King Circuit Sports Centre,3674,2020,--,--,--,--
