year,age_group,category,a,b,c,d,hki_total,e,f,g,kle_total,h,j,klw_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
31-35,F,"3,490","2,108","9,318","4,640","19,556","3,959","5,574","5,627","15,160","7,057","10,259","17,316","5,253","10,455","10,606","9,062","1,971","37,347","6,377","6,950","8,151","14,219","35,697","125,076"
31-35,Sub-total,"6,757","4,115","18,603","9,334","38,809","8,011","11,384","11,101","30,496","14,419","21,395","35,814","10,330","21,681","21,974","18,410","3,945","76,340","13,229","14,208","16,262","28,662","72,361","253,820"
36-40,M,"3,942","2,475","10,663","4,733","21,813","5,075","5,927","6,744","17,746","7,372","11,923","19,295","6,442","11,193","11,077","10,140","2,220","41,072","5,156","5,489","8,924","14,694","34,263","134,189"
36-40,F,"4,166","2,787","11,012","4,821","22,786","5,078","6,121","7,116","18,315","7,342","11,675","19,017","6,691","10,246","10,809","9,689","2,405","39,840","5,080","5,211","9,543","14,302","34,136","134,094"
36-40,Sub-total,"8,108","5,262","21,675","9,554","44,599","10,153","12,048","13,860","36,061","14,714","23,598","38,312","13,133","21,439","21,886","19,829","4,625","80,912","10,236","10,700","18,467","28,996","68,399","268,283"
41-45,M,"4,342","3,044","11,841","5,382","24,609","5,859","6,420","8,071","20,350","8,300","13,073","21,373","6,897","8,632","11,479","11,553","2,717","41,278","5,152","4,840","10,819","12,870","33,681","141,291"
41-45,F,"5,070","3,318","13,163","5,927","27,478","6,084","7,245","8,701","22,030","9,463","14,282","23,745","7,541","9,354","13,476","11,627","3,481","45,479","6,343","5,489","12,515","14,343","38,690","157,422"
41-45,Sub-total,"9,412","6,362","25,004","11,309","52,087","11,943","13,665","16,772","42,380","17,763","27,355","45,118","14,438","17,986","24,955","23,180","6,198","86,757","11,495","10,329","23,334","27,213","72,371","298,713"
46-50,M,"4,589","3,001","12,593","6,303","26,486","5,356","6,994","8,040","20,390","10,331","14,623","24,954","6,861","9,857","13,217","11,467","3,268","44,670","6,864","5,793","11,642","13,459","37,758","154,258"
46-50,F,"5,219","3,428","14,886","7,275","30,808","5,621","7,985","8,846","22,452","11,708","16,082","27,790","7,847","12,132","16,152","12,504","3,925","52,560","8,685","7,477","13,280","16,566","46,008","179,618"
46-50,Sub-total,"9,808","6,429","27,479","13,578","57,294","10,977","14,979","16,886","42,842","22,039","30,705","52,744","14,708","21,989","29,369","23,971","7,193","97,230","15,549","13,270","24,922","30,025","83,766","333,876"
51-55,M,"5,737","3,566","16,838","8,141","34,282","5,939","8,826","9,497","24,262","14,373","17,632","32,005","8,692","15,108","19,002","14,029","4,243","61,074","10,559","9,738","14,497","19,521","54,315","205,938"
51-55,F,"6,446","3,952","18,896","8,916","38,210","6,149","9,554","10,177","25,880","15,293","19,087","34,380","9,076","17,584","19,515","15,446","4,399","66,020","11,620","12,333","15,655","22,696","62,304","226,794"
51-55,Sub-total,"12,183","7,518","35,734","17,057","72,492","12,088","18,380","19,674","50,142","29,666","36,719","66,385","17,768","32,692","38,517","29,475","8,642","127,094","22,179","22,071","30,152","42,217","116,619","432,732"
56-60,M,"5,947","3,676","16,820","8,055","34,498","5,578","9,711","9,053","24,342","13,597","17,233","30,830","7,825","16,375","18,408","14,523","4,151","61,282","11,046","11,518","13,797","21,035","57,396","208,348"
56-60,F,"6,046","3,996","17,988","8,659","36,689","5,718","10,064","9,557","25,339","13,934","18,219","32,153","7,934","17,977","16,286","15,529","3,778","61,504","10,800","11,890","13,189","22,735","58,614","214,299"
56-60,Sub-total,"11,993","7,672","34,808","16,714","71,187","11,296","19,775","18,610","49,681","27,531","35,452","62,983","15,759","34,352","34,694","30,052","7,929","122,786","21,846","23,408","26,986","43,770","116,010","422,647"
61-65,M,"5,085","3,548","14,325","6,791","29,749","5,197","8,226","7,849","21,272","10,151","14,432","24,583","6,033","14,210","12,758","12,002","3,250","48,253","8,255","8,597","9,659","17,479","43,990","167,847"
61-65,F,"5,172","3,830","15,310","6,958","31,270","5,176","8,174","8,822","22,172","10,672","15,964","26,636","6,224","14,170","10,820","13,003","2,775","46,992","6,749","7,916","9,079","18,669","42,413","169,483"
61-65,Sub-total,"10,257","7,378","29,635","13,749","61,019","10,373","16,400","16,671","43,444","20,823","30,396","51,219","12,257","28,380","23,578","25,005","6,025","95,245","15,004","16,513","18,738","36,148","86,403","337,330"
66-70,M,"3,984","3,012","11,413","4,944","23,353","4,032","6,079","6,699","16,810","7,395","11,733","19,128","4,648","9,525","8,021","9,682","2,223","34,099","4,829","5,233","6,532","12,651","29,245","122,635"
66-70,F,"3,838","3,222","11,762","5,225","24,047","4,348","6,117","7,360","17,825","8,212","13,005","21,217","4,740","7,647","6,348","11,012","1,714","31,461","3,738","4,169","6,065","12,019","25,991","120,541"
66-70,Sub-total,"7,822","6,234","23,175","10,169","47,400","8,380","12,196","14,059","34,635","15,607","24,738","40,345","9,388","17,172","14,369","20,694","3,937","65,560","8,567","9,402","12,597","24,670","55,236","243,176"
71 or above,M,"7,153","6,393","21,532","9,935","45,013","9,196","14,691","14,748","38,635","19,025","29,359","48,384","8,762","12,671","12,999","20,659","3,472","58,563","7,991","7,671","10,059","19,600","45,321","235,916"
71 or above,F,"7,467","6,792","24,586","11,279","50,124","9,124","15,650","16,195","40,969","24,404","31,015","55,419","8,627","11,114","12,285","20,454","3,474","55,954","8,514","8,116","10,534","19,442","46,606","249,072"
71 or above,Sub-total,"14,620","13,185","46,118","21,214","95,137","18,320","30,341","30,943","79,604","43,429","60,374","103,803","17,389","23,785","25,284","41,113","6,946","114,517","16,505","15,787","20,593","39,042","91,927","484,988"
Total,M,"50,954","34,576","146,731","68,932","301,193","58,683","86,730","89,215","234,628","118,321","169,760","288,081","73,303","133,913","150,694","137,582","33,587","529,079","85,386","83,776","116,046","178,364","463,572","1,816,553"
Total,F,"53,593","37,211","157,772","73,705","322,281","59,198","89,976","95,078","244,252","127,534","176,587","304,121","75,274","133,691","146,263","141,273","33,466","529,967","85,514","86,053","119,054","186,147","476,768","1,877,389"
Grand Total,,"104,547","71,787","304,503","142,637","623,474","117,881","176,706","184,293","478,880","245,855","346,347","592,202","148,577","267,604","296,957","278,855","67,053","1,059,046","170,900","169,829","235,100","364,511","940,340","3,693,942"
